Id,SubjectBody,Compound_,Neg,Pos,Mean_,Sum_
29,http religion ogs cnn com deadlv link islamic anti islam extremists editor note stephen prothero boston university religion scholar author american bible words unite divide define nation regular cnn belief blog contributor stephen prothero special cnn make attacks consulates egypt libya yemen deaths americans including ambassador libya chris stevens depends mean perspective stormed embassies taking american flag egypt replacing black flag reading god allah mohammed messenger act justice behalf true faith americans coming according view americans wrong clash civilizations judeo christian west muslim world creation anti islamic video ironically entitled innocence muslims producer thought american provided catalyst excuse protests muslims sensitive portraying prophet mohammed americans operate different perspective assault unjust cowardly attack things rule law institution diplomacy right free speech libyan deputy prime minister mustafa abushagur gave voice perspective said twitter condemn barbaric attacks strongest possible terms attack america libya free people sought justify vicious behavior response inflammatory material posted internet secretary state hillary clinton added united states deplores intentional effort denigrate religious beliefs commitment religious tolerance goes beginning nation commencement speech kenyon college later published water novelist david foster wallace urged student scrutinize natural basic self centeredness puts center world unconscious default setting fosters sort blind certainty manifests arrogant atheism fundamentalism alike wallace said point education shake default setting begin things perspectives follow cnn belief blog twitter department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver wallace focused speech individual critique applied default setting cultural natural tendency understand world perspective according stormed embassies innocence muslims individual shadowy sam bacile anamerican according groupthink americans group responsible sins individual americans makes perfect sense strike embassy personnel issued statement protests turned deadly condemning continuing efforts misguided individuals hurt religious feelings muslims condemn efforts offend believers religions cnn belief blog faith angles biggest stories shadowy figures produced distributed innocence muslims imprisoned groupthink gathers world muslims category evil islamic empire film depict mohammed man philanderer pedophile portrays followers dupes unfortunately events recent days jar alleged producer default setting questioned film aftermath libyan egyptian attacks man identifying sam bacile reportedly told wall street journal islam cancer need kenyon college degree vicious cycle provocation violence fueled need moral relativist takes sides running american justly proud amendment protections freedom speech religion believe killing opponents god nation far greater offense offending ignorant movie nonetheless root problem display view wallace denounced blind certainty world divided foremost religious national lines muslims christians hindus israelis americans egyptians divided secularists people faith new atheists partisans old time religion real red line modem world divides certain uncertain tragic events recent days produced distributed hateful movie stand line killers innocents libya egypt groups possessed unholy spirit blind certainty unacquainted complexity contradictions life earth cloud unknowing hovers major religion great religious thinkers judaism christianity islam knew know know knew difference eternal decrees god abraham flawed thoughts ordinary people knew short god charged creating destroying world discriminating way real illusory killers libya forgotten innocent producers distributors innocence islam opinions expressed commentary solely stephen prothero department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver cnn belief blog faith angles biggest stories follow cnn belief flog twitter department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state cb cnn belief biog prothero,-0.9136,0.172,0.161,-0.4084507042253521,-29.0
31,fyifw quick summary potus calls presidents libya egypt,0.0,0.0,0.0,0.0,0.0
33,sunday march lots new intel possible libyan collapse sid hic memo lots new intel possible imminent collapse docx hrc memo lots new intel possible imminent collapse docx march hillary sid lots new intel libyan army possibly verge collapse latest evening march individuals direct access military committee national libyan council nlc stated confidence rebel forces continue organization communications problems morale improved drastically believe libyan army verge collapse attack allied air naval forces libyan army troops begun desert rebel increasing numbers rebels making effort togeet troops fellow libyans effort encourage additional defections source comment speaking strict confidence rebel commander stated troops continue summarily execute foreign mercenaries captured fighting time colonel khalifa haftzu reportedly joined rebel command structure effort help organization rebel forces haftar commander libyan national army na man force anti qaddafi troops based djamena chad current president idryss debi overthrew chadian president hussein habre fall assistance libyan french troops haftar troops lied cotaatry central africa including haftar later settled united states extremely sensitive source added rebels receiving direct assistance training small number egyptian special forces units french british special operations troops working bases egypt libyan border troops overseeing transfer weapons supplies rebels department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver source comment rebels moving areas lost mid march fighting using allied air cover confident tripoli district matter days rebel source reported reliable intelligence people evacuating qaddafi hometown sirte anticipating capture rebels sirte located mid way tripoli benghazi loss psychological blow qaddall separately sensitive european source stated strict confidence french military commanders anticipate complete collapse libyan military command control structure week officers experience libyan army invasion chad late stated libyan troops perform concentrated troops armed modern weapons source noted information tripoli increasingly difficult obtain reports deaths qaddafi senior security officials including mansour daw libyan leader experienced health problem unfortunately european intelligence services unable confirm discredit reports situation increasingly frustrating french president nicolas sarkozy according knowledgeable individuals pressing france emerge crisis principal foreign ally new government takes power sarkozy concerned continuing reports radical terrorist groups libyan fighting groups al qa ida islamic maghreb aqim infiltrating nlc military command accordingly asked sociologist long established ties israel syria nations middle east use contacts determine level influence aqim terrorist groups inside nlc sarkozy asked reports setting clear picture role muslim brotherhood rebel leadership sources note french diplomats intelligence officers egypt contact following rebel figures benghazi mesmar nouri qaddafi head protocol mousa kousa considered libyan leaders loyal follower noun currently lives france gehan gi lei land abdallah colonel charra nt faraj boukhris fathi general abdelfateh younis commander rebel forces source comment senior european security officials caution aqim watching developments libya elements organization touch tribes southeastern country officials concerned post qaddafi libya france western european countries quickly ensure new government allow aqua set small semi autonomous local entities caliphates oil gas producing regions southeastern libya knowledgeable sources add insurgents following weapons stockpiled benghazi mm mortars gpz type machine guns mm machine guns mounted vehicles anti aircraft batteries type zsu man portable air defense systems manpads type sam tanks type department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver possibly fixed wing aircraft light transporthnedim helicopters seemingly endless supply ak assault rifles ammunition systems zsu french british egyptian special forces troops training rebels inside western egypt limited degree western suburbs benghazi source comment sources add manpad sam systems appear old badly preserved judged useless rebels department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb,-0.9846,0.155,0.102,-0.14285714285714285,-8.0
34,pis print sullivan jacob mailto sullivanjj state gov sent thursday september subject quick summary potus calls presidents libya egypt fyifw quick summary potus calls presidents libya egypt,0.0,0.0,0.0,0.0,0.0
36,american killed libya intel mission track weapons,-0.8126,0.597,0.0,-1.0,-1.0
37,depart private residence en route state department arrive state department presidential daily briefing secretary office daily senior staff meeting secretary conference room group photo wffemalle military officers africa treaty ksom floor closed press official photographer staff monica ws carson greet escort treaty room approx people attending consecutive french portuguese interpretation tun weekly meeting ambassador susan rice secretary office award presentation deputy executive secretary pam quanrud secretary outer office closed press official photographer staff rob lanta people expected present superior honor award pam meeting assistant secretary mike posner cheryl secretary outer office pre brief wfwendy jake wh meeting secretary outer office depart state department en route white house arrive white house ii meeting white house situation room depart white house en route andrews air force base arrive andrews air force base ceremony return remains department colleagues benghazi libya andrews air force base press scenario tbd staff monica depart andrews air force base en route state department arrive state department office time tbd secretary office tbd depart state department en route andrews air force base tbd arrive andrews air force base tbd depart andrews air force base air force aircraft tail en route white plains ny tbd arrive westchester county airport department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver tbd depart westchester county aimed ea route private residence arrive private residence department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state cb,0.9682,0.012,0.08800000000000001,1.0,7.0
47,http www salon comi monday oct edt gop october surprise calling jimmy carter strategy exploit libya attack paint obama weak terrorism cy aia credit ap ai behrman salort according highly reliable source mitt romney president barack obama prepare presidential debate wednesday night republican operatives primed unleash new pronged offensive attack obama weak national security based inw ia en iteforrnation regarding attacks libya killed ambassador chris stevens september source hand knowledge private high level conversations romney tamp took place washington dc week said various times gop strategists referred new operation jimmy carter strategy october surprise added planned release hoped bombshell make libya obama foreign policy major issue campaign understanding come evidence obama administration positive intelligence going terrorist attack intelligence source described republicans chortling glee obama administration definitely intel attack happened intelligence graded different ways added connected romney campaign try paint look like obama advance knowledge attack weak terrorism said jubilant new strategy said intended portray obama helpless jimmy carter like president equate tragedy libya president carter failed attempt rescue american hostages iran excited said talked bow like jimmy carter failed raid feel going minute landslide election source said lie dubious tactic indicative lost touch huge portion electorate said source declined reveal names gop operatives present said guys party private unguarded planning conversation department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver described participants meeting consisting known names tied big republican super pacs people access high level national security intelligence usual karl rove present said close rove source said quite bit operation simply revealing intelligence regarding libya declined discuss described second phase operation evidence phase operation underway wednesday september fox news karl rove called obama reaction happened libya inexplicable added obama intent campaigning meeting commander chief went warn obama policies libya endangered regard iran astonished rove said projecting weakness need projecting strength similarly new york mayor rudolph giuliani time gop presidential hopeful known mayor followed rove criticizing obama attack libya deliberate attempt cover truth administration claimed wanted transparent history told fox news worst kind cover kind cover involves national security cover involves slaughter americans giuliani added obama white house wanted dismiss role played al qaeda diminish triumph killed osama bin laden think narrative defeated al qaeda said say words islamic fundamentalist terrorism want wish away president moving asia going declare great victory unfortunately terrible act terror intervened convenient narrative likewise bob corker republican senator tennessee described administration response terrorist attack libya sunday september mitt romney vice presidential nominee paul ryan joined attacks think want best people america understanding exactly happened expect candor expect transparency particularly relates terrorism romney said added ryan obama page administration officials saying terrorist attack leave decide cover apparently related development politico artkle posted night said romney advisers divided hovv aggressively attack president obama handling events libya unnamed romney adviser described huge gift campaign board domestic economic foreign policy issues president obama outmatched events said observer events shaper events look outmatched romney advisers led media strategist stuart stevens wanted stick economy central issue tell got focus people fact economic prospects good aide told politico romney trying clinched nomination end april failed president better deflecting attention bad news romney driving home impact bad news individual voters craig unger new york times bestselling author house bush house saud frequent analyst cnn abc radio air america charlie rose nbc today broadcast outlets written new yorker esquire publications currently contributing editor vanity fair department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb romney gambit got published sid,-0.9601,0.18100000000000002,0.16699999999999998,-0.18421052631578946,-14.0
53,romney op ed today wall street journal playing stevens murder say obama security risk according politico yesterday internal argument romney campaign libya obviously neocons rove oriented faction ed gillespie rove surrogate romney campaign adviser beat stuart stevens romney careening tactic tactic hoping catch surprised romney raise specter muslim brotherhood charge egypt libya bogeyman heard week romney gambit got published_ sid,-0.34,0.131,0.125,-1.0,-2.0
55,remarks afternoon andrews wonderful thanks institution sad day sent hi note visits tajordan iraq look forward catching enjoy weekend meantime department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb thanks,0.9153,0.055999999999999994,0.289,0.5,2.0
56,info sidney blumenthal mailto sent monday october subject romney gambit got arid published sid romney op ed today wall street journal playing stevens murder say obama security risk according politico yesterday internal argument romney campaign libya obviously neocons rove oriented faction ed gillespie rove surrogate romney campaign adviser beat stuart stevens romney careening tactic tactic hoping catch surprised romney raise specter muslim brotherhood charge egypt libya bogeyman heard week romney gambit got published sid,-0.34,0.109,0.10400000000000001,-1.0,-2.0
58,pretty uncompelling piece ask course biased mitt romney new course middle east restore sinews american influence economic strength military strength strength values disturbing developments sweeping greater middle east syria tens thousands innocent people slaughtered egypt muslim brotherhood come power country peace treaty israel hangs balance libya ambassador murdered terrorist attack embassies region stormed violent protests iran ayatollahs continue tilt nuclear weapons capability promising annihilate israel developments president obama says mere bumps road major issues security risk amid upheaval country mercy events shaping moving direction protects people allies dangerous middle east descends chaos iran moves nuclear breakout israel security compromised america pulled maelstrom time address threats require new strategy middle east step understand got world war ii america leader free world unique earned role conquest promoting human rights free markets rule law ally like minded countries expand prosperity trade peace maintaining military second recent years president obama allowed leadership atrophy economy stuck recovery barely deserves national debt risen record levels military tested decade war facing devastating cuts thanks budgetary games played white house finally values misapplied misunderstood president thinks weakness win favor adversaries failing maintain elements influence stepping away allies president obama heightened prospect conflict instability understand american policy lacks resolve provoke aggression encourage disorder middle east case point arab spring presented opportunity help millions people oppression freedom presented grave risks needed strategy success president offered seeks downplay significance calamities past weeks incomprehension afflicts president policy israel president began term explicit policy creating daylight countries recently downgraded israel closest ally middle east closest allies diplomatic message received clearly israel adversaries alike dismissed israel concerns iran mere noise prefers block time israel needs america stand declined meet prime minister benjamin netanyahu period uncertainty need apply coherent strategy supporting partners middle east governments individuals share values means restoring credibility iran say iranian nuclear weapons capability regional instability comes unacceptable ayatollahs believe means placing daylight united states israel means using spectrum soft power encourage liberty opportunity long known corruption oppression dignity work ability steer course lives best alternatives extremism middle east policy undermined unless restore sinews influence economic strength military strength strength values require different set policies president obama pursuing department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver th century american century steadfast defense freedom painful sacrifices necessary defeat totalitarianism guises defend allies paid price treasure soldiers came home challenges different st century american century need leaders understand keeping peace requires american strength dimensions mr romney republican pady candidate president version article appeared october page edition wallstreet journal headline new course middle east romney gambit got published sid,0.9949,0.171,0.266,-0.06493506493506493,-5.0
59,fyi care job prom rhodes benjamin sent wednesday march sullivan jacob reines philippe subject fin statement press secretary statement press secretary,0.6124,0.0,0.20800000000000002,0.0,0.0
62,pis print hrod clintonemail com wednesday october russorv state gov benghazi obama,0.0,0.0,0.0,0.0,0.0
65,pa clips mailtotaclips state govl sent saturday october pa monitoring group di nea press dl ds pa media shore rhonda atchison mark moe grace coordination mills cheryl tow nora pg subject daily beast diplomat person united states ambassador susan rice oct iloo edt leslie gelb diplomat presidential campaign drowning boredom commentators desperately searching news preferably new victim brighten days came susan rice couple sundays ago ambassador mistake appearing talk shows insist attack consulate benghazi libya spontaneous terrorist plot thought said pope mormon came washington daggers lied shill benghazi spontaneous event work al qaeda offshoot white house fumbled key intelligence information trying cover unforgivable mistake rice covering president reward obama nominating succeed hillary clinton secretary state commentariat immediately rolled plans nail rice obama team wall peter king grand inquisitor republicans house representatives pledged investigate hold hearings said commentariat end rice hopes new hillary department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver let unfashionable step examine facts rice make spontaneous story handed white house conspirators got daily intelligence brief given president daily intel reports told story rice repeated publicly benghazi mob formed mainly reaction american video cartooning sacred muslim figures extremists took advantage kill including ambassador christopher stevens rice make story problem rice inevitably complicated intelligence process mistake taking initial intelligence face value white house biiefers error repeated op ed daily beast intelligence briefers told knew contradictory information appear soon sure cia additional intel start begun sift communications intercepts satellite photos human reports takes time sort facts fictions consistent threads seemingly gossamer information taking shape meantime rice running job fogg senator john kerry nsc adviser tom donilon diplomat nicholas burns harvard obama earliest loyalist foreign policy crowd likes despite lackluster reports performance smears flatly inaccurate help help importantly flagging obama debate hunting benghazi culprits department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb daily beast diplomat,0.9796,0.08900000000000001,0.159,0.024390243902439025,1.0
66,chris stevens going brits libya,0.0,0.0,0.0,0.0,0.0
67,supposed today check brits libya,0.0,0.0,0.0,0.0,0.0
68,pis print hrod clintonemail com friday september russorv state gov cnn belief blog prothero,0.0,0.0,0.0,0.0,0.0
71,pis print great drop libya sid,0.4588,0.20600000000000002,0.402,1.0,1.0
72,pouch sheets schedule en route pouch read items action memo authorizing war powers resolution tunisia office like approve today ops send courier pick action memo later today uk fm hague egyptian fm amr israeli netanyahu french fm fabius saudi fm saud al faisal somali transitional president sherif libyan elect abu shakour turkish fm davutoglu somali president mohamoud moroccan king pending new king juan carlos spain called today offered anytime today tomorrow office relayed personal inquiring status embassies middle east working sheet pdb,-0.34,0.045,0.028999999999999998,1.0,2.0
73,prom nora toiv mato sent sun ay april mills ateryl subject exclusive clinton says rule arming uhya rebels exclusive clinton says rule arming libya rebels speaking president says suzan clarice april president clinton said thinks united states consider arming rebels libya civil war depend need know little inclined clinton told correspondent bianna golodryga today san diego exclusive interview abc news clinton san diego annual clinton global initiative university meeting uprising libya stared february wave social political unrest middle east fighting escalated country rebels outgunned libyan leader col moamrnar gadhafi forces better equipped month united nations authorized fly zone north african nation prevent attacks civilians gadhafiss troops air clinton arming rebels sure shut door united states backed fly zone authorized additional support anti gad hafi fighters key lawmakers officials government president barack obanaa said comfortable arming rebels apparently known clinton said completely rule idea supplying arms libya rebels department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver let say sure shut door think need know little said clinton husband secretary state hillary clinton stressed speaking official sanction whatsoever speaking certainly table said watch interview clinton monday good morning america gadhafi focus investigation international criminal court hague watch good morning america tow interview hear clinton speak summit looming government shutdown controversy president obama birth certificate copyright abc news internet ventures department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb exclusive clinton says rule arming uhya rebels,0.9246,0.107,0.14800000000000002,0.23076923076923078,3.0
74,useful insight pls circulate great drop libya sid,0.7351,0.146,0.5760000000000001,1.0,2.0
76,fyi jeff discussed fully agree nato liaison good idea prom feibran jeffrey sent friday april daaider ivo gene polaschlk joan gordon philip roebuck william keene matt dibble elizabeth cc sullivan jacob schikher ronald sanderson janet djerassi alexander heffern john degnan kelly subject itenghazi nato ivo thanks helpful response nea perspective operational liaison tnc constitute formal legal recognition government libya consider chris stevens presence benghazi trigger formal recognition broken relations libya despite suspending embassy operations question nato liaison benghazi appearance nato leaning direction nato operations considerable lean away qadhati speaking nea mind appearance real purpose avoid friendly incidents course cheers jeff jeffrey fettman assistant secretary bureau near eastern affairs department state itenghazi nato,0.9286,0.040999999999999995,0.16399999999999998,0.6,3.0
77,postelection like dinner come town works great drop libya ski,0.6705,0.134,0.42,1.0,3.0
78,sullivan jacob sullivanjj state gov sunday october great drop libya sid,0.4588,0.138,0.27,1.0,1.0
81,friday april uk game playing new rebel strategists egypt moves sid hre memo uk games new rebel strategists egypt moves docx hrc memo uk games new rebel strategists egypt moves clocx hillary,-0.25,0.139,0.052000000000000005,0.0,0.0
84,intelligence warned embassy egypt concern anti muslim film,-0.0772,0.35200000000000004,0.248,-0.3333333333333333,-1.0
86,hrod clintonernail com friday april sullivanjj state govi uk game playing new rebel strategists egypt moves sid hit memo uk games new rebel strategists egypt moves docx fyi uk game playing new rebel strategists egypt moves sid,0.1531,0.11699999999999999,0.131,0.0,0.0
88,approve war powers act action memo king morocco gotten time ops try reasonable hour moroccans attorney general holder requested speak regarding department justice libya investigation standing like tonight department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb question update,0.6369,0.065,0.152,1.0,4.0
98,hrc tom moved yellow chair close went knee knee amazed try knee knee leaned forward like pivot far torso fold forward minimize space heads like dental hygienist rolling floor best access mouth depending tooth trying access seen westerner invade space like non westerners seen based cultural differences briefly greet went like minutes unacceptable culture think behavior type mammal touching leg repeatedly calling hillary gravy wonderful best interviews witnessed wish live tv monica langley transcript,0.9783,0.031,0.315,0.7777777777777778,7.0
108,firm fogarty daniel sent tuesday april mills cheryl stilin jacob abedin hume web ake cc subject stevens update benghazi arn ops provided latest stevens update benghazi traffkaccidenti police accepted usg version story accident victims wearing seathelts usg employees returning airport incident occurred total people died injured usg employee mjuries light people standing pending official usg instructions stevens notes uk flight tomorrow necessary tnc wants press release quell rumor stevens send draft department pa clearance british envoy departs tomorrow permanent change station gap replacement john jenkins arrives baghdad head malunoud fibril going jordan benghazi friday development likely met additional criticism spending time abroad expense government affairs thanks dan department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb stevens update benghazi,-0.7506,0.1,0.055999999999999994,-0.5,-2.0
114,monday ubl aq libya sid hrc memo bin laden aq libya docx hrc memo bin laden aq libya docx hillary,0.0,0.0,0.0,0.0,0.0
116,right king morocco,0.0,0.0,0.0,1.0,1.0
118,right king morocco,0.0,0.0,0.0,1.0,1.0
119,hrod chntonemail com monday jilotylc state gov ubl aq libya sid hrc memo bin laden aq libya doot pis print sent monday subject ubl aq libya sid hillaryh ubl aq libya sid,0.0,0.0,0.0,0.0,0.0
121,ops building sheet email king morocco,0.0,0.0,0.0,0.0,0.0
122,hrod clintonemail com friday sullivanjj state gov ubl aq libya sid hrc memo bin laden aq libya docx pass disturbing true sent monday subject ubl aq libya sid hillaryh ubl aq libya sid,-0.128,0.08900000000000001,0.075,-1.0,-1.0
124,inal message king morocco,0.0,0.0,0.0,0.0,0.0
125,release strikes little strange certainly disturbing pass info prom mailto hdr dintonernall corn sent friday sullivan jacob subject usl aq libya sid pass disturbing true sent monday subject ubl aq libya sid hillaryre ubl aq libya sid,-0.6319,0.21899999999999997,0.107,-1.0,-3.0
