playerShort,,playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,refCount,refCountryCount,meanIAT,seIAT,meanExp,seExp,color_rating,meanIAT_nIAT,meanExp_nExp,meanIAT_GameNbr,meanExp_GameNbr,meanIAT_cards,meanExp_cards
abdul-razak,3802,abdul-razak,Abdul Razak,Manchester City,England,11.11.1992,180.0,78.0,Center Midfielder,36,16,8,12,0,2,0,0,33,10,0.3545657236856301,0.0009889600854136467,0.5364080241452557,0.006177425678201358,5,0.32906867606653123,0.36969428868073184,0.35224272035572124,0.5214111523232781,0.0,0.0
abel-aguilar,2306,abel-aguilar,Abel Aguilar,Deportivo La Coruña,Spain,06.01.1985,185.0,78.0,Defensive Midfielder,246,93,61,92,25,70,3,2,110,22,0.3591832730484047,0.00039987853824951993,0.5491047346378064,0.0021563137066269605,3,0.3303351045310626,0.45942337544714584,0.3628475662693566,0.5575735778218925,0.36989359418717205,0.5882973115445439
abelaziz-barrada,343,abelaziz-barrada,Abelaziz Barrada,Getafe CF,Spain,19.06.1989,185.0,78.0,Joker,85,28,25,32,14,11,1,1,39,18,0.3415413408561621,0.004547743529387027,0.3992371516046735,0.023270602141415367,1,0.35172101972699665,0.45612042991410706,0.3568849132470616,0.5015520616897797,0.0,0.0
abou-diaby,458,abou-diaby,Abou Diaby,Arsenal FC,England,11.05.1986,188.0,75.0,Center Midfielder,208,109,51,48,21,24,0,2,65,21,0.33690646367594534,0.003344658889872631,0.4228672937756214,0.01638728677463787,4,0.32815052105061665,0.36304454619431703,0.33148438639430045,0.3902916907895441,0.0,0.0
adam-bodzek,14239,adam-bodzek,Adam Bodzek,Fortuna Düsseldorf,Germany,07.09.1985,184.0,79.0,Defensive Midfielder,211,88,63,60,9,66,1,0,56,1,0.3366281626427213,5.454025113076391e-05,0.3359668924003007,0.000225061636579017,2,0.3366281626427215,0.33596689240030103,0.3366281626427209,0.33596689240030103,0.0,0.0
adam-campbell,1884,adam-campbell,Adam Campbell,Newcastle United,England,01.01.1995,168.0,76.0,Joker,20,6,5,9,2,1,0,0,17,7,0.33324617116888755,3.678863716303395e-05,0.3899783485430745,0.00020685489736068312,1,0.3271120050018134,0.35744296104500073,0.33226269805256303,0.3849484306038419,0.0,0.0
adam-federici,1922,adam-federici,Adam Federici,Reading FC,England,31.01.1985,188.0,90.0,Goalkeeper,206,83,54,69,1,4,0,0,81,10,0.3302501290261906,4.175635056588235e-05,0.38015738398940435,0.0002844284723699671,1,0.32706327702883636,0.41331706753927633,0.32808966464544653,0.3657691426618067,0.0,0.0
adam-hlousek,1589,adam-hlousek,Adam Hloušek,1. FC Nürnberg,Germany,20.12.1988,188.0,76.0,Left Midfielder,131,46,34,51,13,21,0,0,60,17,0.3647717985511291,0.00020372119228149725,0.4985351624324135,0.0009770630279355398,1,0.33801881353429264,0.3710413761861898,0.3698149702875688,0.5071404430161536,0.0,0.0
adam-johnson,749,adam-johnson,Adam Johnson,Sunderland AFC,England,14.07.1987,175.0,62.0,Left Midfielder,339,145,68,126,55,21,0,0,92,22,0.3388060918208238,0.0007182298532878781,0.41879654529946037,0.003206339826237211,1,0.3276011982998991,0.36066299233052174,0.3304136342247155,0.37410060239082044,0.0,0.0
adam-morgan,10385,adam-morgan,Adam Morgan,Liverpool FC,England,21.04.1994,179.0,76.0,Joker,23,8,7,8,1,0,0,0,23,11,0.3469971491480931,0.00013035735020046043,0.4481018507040751,0.0003566932787555124,2,0.3274700186460342,0.3599850622645028,0.3469971491480931,0.4481018507040751,0.0,0.0
adam-pinter,1590,adam-pinter,Ádám Pintér,Real Zaragoza,Spain,12.06.1988,190.0,76.0,Center Back,82,28,18,36,1,14,1,1,56,23,0.3654168470232095,0.00037343504342465095,0.6300617653708416,0.002062369077895012,1,0.3406223984269101,0.4407733220085338,0.36683630344105134,0.6168193775722594,0.0,0.0
adam-smith_3,532,adam-smith_3,Adam Smith,Millwall FC,England,29.04.1991,173.0,73.0,Right Fullback,131,55,31,45,4,29,2,1,70,11,0.33152890837165855,0.0004108428256256509,0.3884808498644213,0.0023005324661387054,1,0.32679285409139536,0.35667099457485024,0.3292755289568418,0.37356365488307225,0.0,0.0
adam-szalai,1591,adam-szalai,Ádám Szalai,1. FSV Mainz 05,Germany,09.12.1987,193.0,87.0,Center Forward,182,83,40,59,51,18,1,0,70,25,0.34779115733942184,0.00022314573387118876,0.4530658399990563,0.00130050948659183,2,0.33689627479718737,0.3650935529990761,0.3411939148252388,0.382994192781118,0.0,0.0
adan,1592,adan, Adán,Real Madrid,Spain,13.05.1987,190.0,88.0,Goalkeeper,44,22,6,16,0,1,0,1,31,13,0.3691843912066443,0.0002534150786090072,0.5838489595557421,0.001631127968629446,1,0.3480438148250539,0.47157003457271535,0.3692308865853233,0.5847197936805789,0.0,0.0
adel-taarabt,1924,adel-taarabt,Adel Taarabt,Queens Park Rangers,England,24.05.1989,180.0,78.0,Left Midfielder,209,67,56,86,41,23,1,0,84,11,0.3264780431914264,0.00010514064475677686,0.33556376213315464,0.00044124390040078086,2,0.3272265351441244,0.35815157483258087,0.3271063792606999,0.3501803486820421,0.0,0.0
adil-rami,750,adil-rami,Adil Rami,Valencia CF,Spain,27.12.1985,190.0,88.0,Center Back,286,144,71,71,20,59,2,3,101,25,0.3545386081835976,0.0010438229641666337,0.49204746221963663,0.00497177671824899,2,0.3378091334226459,0.4018768788590867,0.35127938266152986,0.4605168884544661,0.325185154120009,0.538461538461538
adrian-colunga,1594,adrian-colunga, Adrián Colunga,Getafe CF,Spain,17.11.1984,171.0,69.0,Center Forward,178,53,43,82,39,22,1,0,47,7,0.36567878026938894,0.00016672969098055455,0.5769928507686437,0.0007383127734230372,2,0.3666728243228073,0.5725102986888666,0.3687806938830384,0.5853124258340539,0.0,0.0
adrian-mutu,494,adrian-mutu,Adrian Mutu,AC Ajaccio,France,08.01.1979,180.0,74.0,Left Winger,453,199,120,134,178,90,2,3,160,32,0.36415052512831425,0.0005352369401091621,0.5336911175196776,0.00249649740866941,2,0.3348991473251459,0.3902765934429566,0.37214579520428376,0.5191009375511346,0.0,0.0
adrian_2,649,adrian_2, Adrián,Atlético Madrid,Spain,08.01.1988,183.0,73.0,Center Forward,294,145,62,87,60,16,0,0,86,31,0.35704798313920855,0.00030368931664517254,0.517617733147926,0.0017353624101639656,1,0.3291096436476792,0.44501379626849147,0.3652468085425535,0.5637273457994785,0.0,0.0
adrian_7,611,adrian_7, Adrián,SD Compostela,Spain,21.05.1983,188.0,82.0,Goalkeeper,29,10,11,8,0,3,0,0,28,1,0.3698935941871719,0.00022948964086646405,0.5882973115445439,0.0010016473064931102,2,0.36989359418717216,0.5882973115445439,0.3698935941871719,0.5882973115445439,0.0,0.0
adriano_24,752,adriano_24, Adriano,FC Barcelona,Spain,26.10.1984,172.0,67.0,Left Midfielder,373,229,59,85,33,58,1,3,108,33,0.3584279085662786,0.0013764074689909041,0.5715225830763536,0.007117518227822692,2,0.3301407688115043,0.4513038127612312,0.3650013237820252,0.5757471650779167,0.0,0.0
adrien-rabiot,3911,adrien-rabiot,Adrien Rabiot,Paris Saint-Germain,France,03.04.1995,188.0,71.0,Defensive Midfielder,66,42,14,10,6,11,0,0,38,17,0.3429196009968158,0.0018712091100873338,0.4550012282320264,0.01005605160030988,1,0.3315119000397816,0.37405184523049395,0.3431535477868601,0.4347359204726709,0.29508619258663693,0.48823529411764705
aduriz,2316,aduriz, Aduriz,Athletic Bilbao,Spain,11.02.1981,182.0,78.0,Center Forward,322,125,82,115,105,68,3,4,63,18,0.36366579245974384,0.00023989249186579155,0.5664796113661448,0.001069217257736467,2,0.3408784805240821,0.4388094156591643,0.36859149856172424,0.5831269734432503,0.36989359418717205,0.5882973115445439
agirretxe,2317,agirretxe, Agirretxe,Real Sociedad,Spain,24.02.1987,187.0,77.0,Center Forward,200,78,62,60,52,8,0,0,45,7,0.3707913204352421,0.00024036043598938761,0.6105430475250234,0.0010820547337485166,1,0.36793629280830914,0.5914650507580161,0.3700955825929879,0.5933026021401521,0.0,0.0
ahmed-kantari,48,ahmed-kantari,Ahmed Kantari,Stade Brest,France,28.06.1985,185.0,78.0,Joker,166,61,40,65,5,38,1,0,50,5,0.32795884772750766,0.000523628768277084,0.32913133647454706,0.002254971391409929,2,0.3353733424074167,0.3420877847493075,0.33125293877446127,0.32873322919162934,0.334683895844357,0.336100963135171
ahmed-sassi,4264,ahmed-sassi,Ahmed Sassi,1899 Hoffenheim,Germany,24.09.1993,179.0,69.0,Attacking Midfielder,15,6,1,8,4,1,0,0,14,1,0.3366281626427209,5.454025113076391e-05,0.33596689240030114,0.000225061636579017,3,0.336628162642721,0.33596689240030103,0.3366281626427209,0.33596689240030114,0.0,0.0
alain-traore_2,753,alain-traore_2,Alain Traoré,FC Lorient,France,31.12.1988,176.0,66.0,Left Midfielder,130,39,42,49,31,17,0,1,56,18,0.33263911263521717,0.0030800906747970843,0.31011437839422457,0.016810869188454324,5,0.3372681995701853,0.35898283439131573,0.333243753575757,0.3223191956256251,0.0,0.0
alaixys-romao,238,alaixys-romao,Alaixys Romao,FC Lorient,France,18.01.1984,180.0,74.0,Defensive Midfielder,234,70,67,97,3,60,2,1,65,26,0.3087738123035892,0.0038184404087996835,0.2675390770696175,0.01960848296865699,3,0.3328124746349475,0.3597894494841606,0.32687439882697694,0.31376906870764304,0.0,0.0
alassane-plea,50,alassane-plea,Alassane Pléa,Olympique Lyon,France,10.03.1993,180.0,65.0,Joker,33,10,10,13,3,0,0,0,29,11,0.3421303059859299,0.0003247884873375468,0.42988580597677967,0.0019137359101157958,4,0.3381166428148919,0.358812691424196,0.34191736258573335,0.42400249388422473,0.0,0.0
albelda,1596,albelda, Albelda,Valencia CF,Spain,01.09.1977,181.0,77.0,Defensive Midfielder,561,292,139,130,11,197,3,6,147,35,0.3567692610673432,0.00024275486161319152,0.5261770732197991,0.0011215355287690343,2,0.3401317966732517,0.42668091729205593,0.365308795202718,0.5630906579049845,0.355498137405798,0.517225106182161
alberto-botia,2319,alberto-botia, Alberto Botía,Sevilla FC,Spain,27.01.1989,186.0,82.0,Center Back,171,51,50,70,4,69,0,3,45,17,0.3617931558115827,0.0002871317360686505,0.5516471634542992,0.001423559557884175,2,0.339053637134606,0.41838662667547805,0.36758828525988435,0.5788753642969329,0.0,0.0
alberto-perea,2320,alberto-perea, Alberto Perea,Rayo Vallecano,Spain,19.12.1990,177.0,68.0,Joker,17,5,3,9,1,1,0,0,11,1,0.3698935941871721,0.00022948964086646405,0.5882973115445439,0.0010016473064931102,2,0.36989359418717205,0.5882973115445439,0.36989359418717205,0.5882973115445439,0.0,0.0
alejandro-alonso,755,alejandro-alonso,Alejandro Alonso,AS Saint-Étienne,France,03.03.1982,170.0,68.0,Right Midfielder,175,77,52,46,11,39,2,1,51,10,0.3471950740755243,0.001027694592424024,0.4204800212810545,0.004693517316252554,1,0.3398188357462505,0.3787008063545553,0.33811289654659776,0.3653168160880026,0.0,0.0
alejandro-dominguez_2,756,alejandro-dominguez_2,Alejandro Domínguez,Rayo Vallecano,Spain,10.06.1981,175.0,73.0,Right Winger,197,104,41,52,45,36,0,1,108,27,0.3643446331360415,0.0013702901468675098,0.6802812214625874,0.00723653482614405,2,0.35063170738400107,0.5291641533821627,0.3717366255835216,0.7739722051921699,0.0,0.0
aleksandar-ignjovski,5038,aleksandar-ignjovski,Aleksandar Ignjovski,Werder Bremen,Germany,27.01.1991,175.0,68.0,Defensive Midfielder,136,50,36,50,1,22,1,0,53,15,0.34779191967364914,0.00044728685428360493,0.43994462855592426,0.002218335952110001,2,0.3369912574836924,0.3542422676205761,0.34097874442683246,0.37648762781388934,0.0,0.0
aleksandar-kolarov,6,aleksandar-kolarov,Aleksandar Kolarov,Manchester City,England,10.11.1985,187.0,80.0,Left Fullback,285,138,57,90,28,50,4,3,107,35,0.36035513210382275,0.0012237728278131066,0.5184422670843358,0.005734715642822515,1,0.3319592981822164,0.379814474159755,0.3544774136917381,0.47008903753231285,0.0,0.0
aleksandar-stevanovic,4265,aleksandar-stevanovic,Aleksandar Stevanović,Werder Bremen,Germany,16.02.1992,175.0,65.0,Joker,77,38,10,29,16,7,0,0,57,1,0.3366281626427213,5.454025113076391e-05,0.3359668924003007,0.000225061636579017,2,0.3366281626427215,0.33596689240030103,0.3366281626427213,0.3359668924003007,0.0,0.0
alex-lopez,2323,alex-lopez, Álex López,Celta Vigo,Spain,11.01.1988,174.0,66.0,Center Midfielder,141,57,30,54,16,32,0,0,40,1,0.3698935941871718,0.00022948964086646405,0.5882973115445439,0.0010016473064931102,2,0.36989359418717194,0.5882973115445439,0.36989359418717216,0.5882973115445441,0.0,0.0
alex-nimely-tchuimeni,1927,alex-nimely-tchuimeni,Alex Nimely-Tchuimeni,Manchester City,England,11.05.1991,180.0,72.0,Center Forward,34,6,15,13,2,3,0,0,30,5,0.3328523892949097,2.6262114944111196e-05,0.3783229999822158,0.0001188212115924464,5,0.32684090472162747,0.35665880136759864,0.33212736511041724,0.37574918378213445,0.0,0.0
alex-oxlade-chamberlain,650,alex-oxlade-chamberlain,Alex Oxlade-Chamberlain,Arsenal FC,England,15.08.1993,180.0,70.0,Joker,139,80,27,32,26,5,0,0,75,20,0.33840488005297403,0.0003832185706860842,0.4062893837709082,0.0020523531161604517,3,0.3272382282530752,0.3585704044556911,0.3338229415822438,0.3902243539652443,0.0,0.0
alex-rubio,432,alex-rubio, Álex Rubio,Sevilla FC,Spain,23.07.1993,185.0,77.0,Center Forward,20,5,5,10,4,5,0,0,20,1,0.36989359418717194,0.00022948964086646405,0.5882973115445439,0.0010016473064931102,1,0.3698935941871722,0.5882973115445439,0.36989359418717194,0.5882973115445439,0.36989359418717205,0.5882973115445439
alex-smith_6,9466,alex-smith_6,Alex Smith,Leyton Orient,England,31.10.1991,175.0,54.0,Joker,14,9,1,4,1,1,0,0,14,1,0.3266896837267241,9.638668990978083e-06,0.356445562281524,3.68802247340708e-05,3,0.32668968372672397,0.35644556228152396,0.3266896837267241,0.356445562281524,0.0,0.0
alex-song,239,alex-song,Alex Song,FC Barcelona,Spain,09.09.1987,182.0,74.0,Defensive Midfielder,345,208,64,73,11,67,2,0,123,40,0.33326059823810733,0.0029060825565902035,0.38730353323064004,0.014919102456173897,5,0.32979744959137436,0.3727610000553322,0.33358486594011405,0.39249193334867816,0.0,0.0
alex_17,2326,alex_17, Álex,Real Madrid Castilla,Spain,15.10.1992,180.0,68.0,Center Midfielder,68,30,12,26,3,8,0,1,38,5,0.3679958024542871,0.00023457828590953519,0.5795861270284357,0.0010233087178490208,1,0.3514049226870698,0.4897742935906269,0.3681977118884944,0.5800197121199097,0.0,0.0
alex_4,758,alex_4, Alex,Paris Saint-Germain,France,17.06.1982,188.0,92.0,Center Back,371,243,81,47,38,48,0,2,123,35,0.350102827345359,0.001397369707124096,0.4863844781902815,0.007623193319821421,3,0.3293716348622157,0.4286680792270391,0.34352924946018026,0.43178549697668356,0.0,0.0
alexander-buettner,8012,alexander-buettner,Alexander Büttner,Manchester United,England,11.02.1989,174.0,75.0,Left Fullback,138,54,26,58,12,18,1,0,42,7,0.3454160828696978,3.811712575700189e-05,0.44632160164454565,0.00017143771029934748,2,0.3320925655798365,0.3791823529723228,0.3486058919502132,0.44179556695880245,0.0,0.0
alexander-esswein,7433,alexander-esswein,Alexander Esswein,1. FC Nürnberg,Germany,25.03.1990,183.0,85.0,Left Winger,185,85,43,57,36,25,1,0,87,12,0.338851877413412,0.0005300140468717167,0.36795694147147523,0.0033740453730684034,2,0.33743321859215925,0.3438071170870485,0.33783270363189816,0.35237625904790176,0.0,0.0
alexander-hien,14242,alexander-hien,Alexander Hien,Eintracht Frankfurt,Germany,03.04.1993,183.0,72.0,Defensive Midfielder,58,25,7,26,2,2,0,0,38,1,0.33662816264272116,5.454025113076388e-05,0.3359668924003008,0.0002250616365790169,1,0.3366281626427213,0.33596689240030103,0.33662816264272116,0.33596689240030086,0.0,0.0
alexander-madlung,2329,alexander-madlung,Alexander Madlung,VfL Wolfsburg,Germany,11.07.1982,193.0,92.0,Center Back,325,132,90,103,31,42,4,3,76,17,0.34407714158118435,0.00022455663405901574,0.41508546684299574,0.0010210214780022495,1,0.3373630041378195,0.3606546190676568,0.33859671276208103,0.3576507497986919,0.0,0.0
alexander-manninger,759,alexander-manninger,Alexander Manninger,FC Augsburg,Germany,04.06.1977,188.0,83.0,Goalkeeper,322,115,96,111,0,11,0,1,160,24,0.3579672300222351,0.000982952477172046,0.4657721176153302,0.004837960273484335,2,0.33334715859118064,0.3736335426666761,0.36085704547431524,0.46529327281092103,0.0,0.0
alexander-meier,2330,alexander-meier,Alexander Meier,Eintracht Frankfurt,Germany,17.01.1983,196.0,84.0,Attacking Midfielder,342,121,85,136,106,39,2,0,67,10,0.34007356231825103,0.00015306932331665154,0.37206787773783806,0.000647865732180942,1,0.3369909276655541,0.34748204069300886,0.337303138602547,0.3430393076564855,0.0,0.0
alexander-ndoumbou,17035,alexander-ndoumbou,Alexander N'Doumbou,Olympique Marseille,France,04.01.1992,174.0,70.0,Joker,5,1,2,2,0,1,0,0,5,5,0.3122493453204518,0.0005993954616361754,0.5772308653476338,0.0036623260372926313,2,0.3379927283584786,0.3234907417552316,0.3122493453204518,0.5772308653476338,0.0,0.0
alexander-ring,2331,alexander-ring,Alexander Ring,Bor. Mönchengladbach,Germany,09.04.1991,173.0,72.0,Right Midfielder,103,49,23,31,6,14,1,0,63,23,0.3567218801542213,0.0002796630947122301,0.556883561580586,0.0013234838126950782,1,0.3371551558105988,0.3960392421110336,0.3627732590547162,0.6250073267222377,0.0,0.0
alexander-schwolow,4266,alexander-schwolow,Alexander Schwolow,SC Freiburg,Germany,02.06.1992,189.0,83.0,Goalkeeper,89,41,22,26,0,1,0,0,62,3,0.3379648632829652,5.862713921055424e-05,0.3470822051873224,0.00024971445242057366,1,0.33688746177321643,0.33780931647084245,0.3375593473583968,0.3437101440047428,0.336628162642721,0.33596689240030103
alexander-tettey,7,alexander-tettey,Alexander Tettey,Norwich City,England,04.04.1986,180.0,68.0,Defensive Midfielder,214,88,54,72,11,34,0,0,108,31,0.3455905854073303,0.0011571236412667532,0.5081846999337986,0.005640500868891146,5,0.32924564573486814,0.3766413306298587,0.3407537415811589,0.4884178183636325,0.0,0.0
alexandre-alphonse,51,alexandre-alphonse,Alexandre Alphonse,Stade Brest,France,17.06.1982,176.0,70.0,Right Winger,229,111,53,65,68,33,0,2,80,23,0.3396503698402933,0.0002383692582655248,0.4057856347410687,0.0010163526719630157,3,0.33428664381920276,0.38223261569323247,0.34284059836299274,0.38695133889584,0.0,0.0
alexandre-lacazette,1456,alexandre-lacazette,Alexandre Lacazette,Olympique Lyon,France,28.05.1991,174.0,73.0,Center Forward,153,77,31,45,42,18,2,1,62,30,0.3497673668858118,0.0002530291000575698,0.4951093279709205,0.0013584307019893376,4,0.3281759915436206,0.4478552357510803,0.34241771218181427,0.4186401242176177,0.0,0.0
alexis,1599,alexis, Alexis,Getafe CF,Spain,04.08.1985,183.0,80.0,Center Back,255,96,57,102,16,77,7,4,53,11,0.3636137722032505,0.00017273285407678758,0.589130591993439,0.0008376715538448111,1,0.34241020311135,0.44240874875727854,0.36839081647072797,0.587484763466767,0.0,0.0
alexis-sanchez,534,alexis-sanchez,Alexis Sánchez,FC Barcelona,Spain,19.12.1988,170.0,73.0,Right Winger,373,215,67,91,96,60,2,2,142,43,0.36508473743969416,0.0005092112874308769,0.5633238896079937,0.003092074859463422,2,0.32935616685911984,0.45892969942202344,0.3696435926247908,0.564752018429187,0.0,0.0
alfaro_2,2336,alfaro_2, Alfaro,RCD Mallorca,Spain,23.11.1986,175.0,73.0,Attacking Midfielder,227,91,51,85,53,25,0,0,68,9,0.3660161257379068,0.0002391446249097116,0.5638319896019786,0.0010401668980274494,2,0.35455972236945027,0.5030037500066868,0.3687320617882735,0.5809684926366393,0.0,0.0
alhassane-bangoura,2337,alhassane-bangoura,Alhassane Bangoura,Rayo Vallecano,Spain,30.09.1992,174.0,68.0,Right Midfielder,108,38,21,49,7,18,0,1,34,12,0.33740267057963563,0.0013461493784079704,0.4859853087434362,0.006198101080613612,5,0.36892076978012533,0.586486601265554,0.3596649700885031,0.5560879773293803,0.36989359418717205,0.5882973115445439
aliosman-aydin,8696,aliosman-aydin,Aliosman Aydin,Fortuna Düsseldorf,Germany,06.02.1992,178.0,77.0,Joker,77,22,23,32,18,8,0,1,45,1,0.3366281626427212,5.454025113076389e-05,0.33596689240030075,0.00022506163657901696,1,0.3366281626427214,0.33596689240030103,0.33662816264272105,0.335966892400301,0.0,0.0
allan-nyom,2338,allan-nyom,Allan Nyom,Granada CF,Spain,10.05.1988,186.0,81.0,Joker,147,48,35,64,1,41,1,0,36,2,0.36869348556327053,0.0002264228819279297,0.5818569851761266,0.0009881105039986975,4,0.35185296292065765,0.4922999532260767,0.36959969003437987,0.5867200887604419,0.7397871883743441,1.1765946230890878
almog-cohen,1600,almog-cohen,Almog Cohen,1. FC Nürnberg,Germany,01.09.1988,169.0,68.0,Defensive Midfielder,116,46,27,43,3,27,0,2,60,19,0.34428229973740204,0.0008413588810176234,0.4552664815511778,0.003198622968032934,2,0.3338985659040511,0.3604531029401473,0.3405871990710042,0.3976735764438582,0.0,0.0
alou-diarra,762,alou-diarra,Alou Diarra,West Ham United,England,15.07.1981,190.0,79.0,Defensive Midfielder,420,195,109,116,24,91,5,2,116,32,0.34408914682728675,0.003625395614989381,0.45154962893211065,0.013678603487568802,5,0.33165648099433975,0.3750643470647602,0.33876314767355853,0.3844680904513941,0.9755554623600269,1.615384615384614
alphonse-areola,53,alphonse-areola,Alphonse Aréola,Paris Saint-Germain,France,27.02.1993,190.0,88.0,Goalkeeper,47,26,14,7,0,0,0,0,38,11,0.34067041097166306,0.00022360328617787695,0.40108600081226226,0.0011048788431597383,3,0.33860213235452036,0.3946220240918144,0.33996691321455,0.3924957625984998,0.0,0.0
alvaro-gonzalez_3,2341,alvaro-gonzalez_3, Álvaro González,Real Zaragoza,Spain,08.01.1990,183.0,76.0,Center Back,114,30,34,50,3,43,0,2,45,2,0.3702311176152107,0.00023518695804507878,0.5943224958431585,0.001033088852609852,2,0.3699967373721506,0.5901106747590146,0.37002682711929263,0.5906756737676814,0.7397871883743441,1.1765946230890878
alvaro-negredo,535,alvaro-negredo, Álvaro Negredo,Sevilla FC,Spain,20.08.1985,186.0,87.0,Center Forward,320,161,58,101,150,27,0,5,78,22,0.3497022606780433,0.0008806438076455567,0.49820847271001345,0.003016806531007305,1,0.331162023990166,0.37770771184530777,0.3609142792229375,0.5448279177257804,0.0,0.0
alvaro-rubio,2343,alvaro-rubio, Álvaro Rubio,Real Valladolid,Spain,18.04.1979,178.0,80.0,Defensive Midfielder,257,80,78,99,4,45,3,0,58,1,0.3698935941871718,0.00022948964086646405,0.5882973115445439,0.0010016473064931102,2,0.3698935941871721,0.5882973115445439,0.3698935941871723,0.5882973115445446,0.36989359418717205,0.5882973115445439
alvaro-vadillo,2344,alvaro-vadillo, Álvaro Vadillo,Real Betis,Spain,12.09.1994,180.0,69.0,Left Winger,55,19,12,24,2,9,1,0,31,11,0.3638890295096135,0.0003134784940953019,0.5716121750681497,0.0015067602170046853,2,0.3453598493259741,0.45419047448458666,0.36514906861253843,0.5770736524864508,0.36989359418717205,0.5882973115445439
alvaro_10,2345,alvaro_10, Álvaro,Getafe CF,Spain,27.04.1991,182.0,71.0,Center Forward,136,50,27,59,32,9,0,0,56,16,0.3553286878736849,0.00025290632890547274,0.5311563941615699,0.0012021633851835454,1,0.32800539705948895,0.43374844389684475,0.36326092819837696,0.5613591139565101,0.0,0.0
